"","Sample","Experiment","Experiment.Title","Organism.Name","Instrument","Submitter","Study.Accession","Study.Title","Total.Size..Mb","Total.RUNs","Total.Spots","Total.Bases","Library.Strategy","Library.Source","Library.Selection","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","download_path","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","BioSample","SampleType","TaxID","ScientificName","SampleName","Tumor","CenterName","Submission","Consent","RunHash","ReadHash"
"11","SRS1219082","SRX1497376","GSM1978259: RNA-seq Beta2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2862.94,3,45639061,4563906100,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048071","2015-12-27 19:52:05","2015-12-22 14:09:52",13068171,1306817100,0,100,842,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048071","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362232","simple",9606,"Homo sapiens","GSM1978259","no","GEO","SRA321280","public","950A101E756137EEEE38C64073518FCD","DF1CF7EBA677560EC04F791DA96CF521"
"12","SRS1219082","SRX1497376","GSM1978259: RNA-seq Beta2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2862.94,3,45639061,4563906100,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048072","2015-12-27 19:52:05","2015-12-22 14:11:23",16307529,1630752900,0,100,1011,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048072","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362232","simple",9606,"Homo sapiens","GSM1978259","no","GEO","SRA321280","public","5837225DF52F8A1877A6D483642D3C8C","6056A94676F5EF84D7C23071F4DF3272"
"13","SRS1219082","SRX1497376","GSM1978259: RNA-seq Beta2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2862.94,3,45639061,4563906100,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048073","2015-12-27 19:52:05","2015-12-22 14:09:46",16263361,1626336100,0,100,1009,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048073","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362232","simple",9606,"Homo sapiens","GSM1978259","no","GEO","SRA321280","public","73A1054B99AC425FF7FDB6895AAF13A9","5098AA34793CBE2D8890407A120E8499"
"14","SRS1219083","SRX1497375","GSM1978258: RNA-seq Beta1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",3305.5,1,52194897,5219489700,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048070","2015-12-27 19:52:05","2015-12-22 14:16:48",52194897,5219489700,0,100,3305,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048070","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362231","simple",9606,"Homo sapiens","GSM1978258","no","GEO","SRA321280","public","D8CFB08F211010721BDA1CA24609B75C","A9B85B9D82B56AF70641491EEAE33ED3"
"15","SRS1219084","SRX1497374","GSM1978257: RNA-seq Alpha7; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2811.55,3,44879497,4487949700,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048069","2015-12-27 19:52:05","2015-12-22 14:09:51",16001371,1600137100,0,100,991,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048069","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362221","simple",9606,"Homo sapiens","GSM1978257","no","GEO","SRA321280","public","723F43C9A0712C7A70BF75AD59E4EBD7","F42141BD52B4212F04F8052F6F5307A6"
"16","SRS1219084","SRX1497374","GSM1978257: RNA-seq Alpha7; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2811.55,3,44879497,4487949700,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048067","2015-12-27 19:52:05","2015-12-22 14:08:45",12858633,1285863300,0,100,827,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048067","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362221","simple",9606,"Homo sapiens","GSM1978257","no","GEO","SRA321280","public","23FA8E7E139E89AB7918BB8E8FB30FAE","4B05B4697E6D72CEAA6D78DAFB7DD377"
"17","SRS1219084","SRX1497374","GSM1978257: RNA-seq Alpha7; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2811.55,3,44879497,4487949700,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048068","2015-12-27 19:52:05","2015-12-22 14:09:24",16019493,1601949300,0,100,992,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048068","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362221","simple",9606,"Homo sapiens","GSM1978257","no","GEO","SRA321280","public","E67E100058AE7A13FF3D85146515387C","A702644E38F45416C4F4A05FA95224FE"
"18","SRS1219085","SRX1497373","GSM1978256: RNA-seq Alpha6; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2638.09,3,42026656,4202665600,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048065","2015-12-27 19:52:05","2015-12-22 14:10:25",15005860,1500586000,0,100,931,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048065","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362220","simple",9606,"Homo sapiens","GSM1978256","no","GEO","SRA321280","public","A8658F5DB1FAE43B7C350D9EF4092993","6A2FE7152833FD5E848805940493A55B"
"19","SRS1219085","SRX1497373","GSM1978256: RNA-seq Alpha6; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2638.09,3,42026656,4202665600,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048066","2015-12-27 19:52:05","2015-12-22 14:09:21",14992946,1499294600,0,100,930,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048066","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362220","simple",9606,"Homo sapiens","GSM1978256","no","GEO","SRA321280","public","D180B228D3FE94197EC185D14E0D83CF","FB0B3AE3630D644D655F8A21D3BB016C"
"20","SRS1219085","SRX1497373","GSM1978256: RNA-seq Alpha6; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2638.09,3,42026656,4202665600,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048064","2015-12-27 19:52:05","2015-12-22 14:08:57",12027850,1202785000,0,100,776,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048064","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362220","simple",9606,"Homo sapiens","GSM1978256","no","GEO","SRA321280","public","E428BAEC6EBBD99C67CCB86C98353FA8","0CEB8942BC452FA13BC460C21F0AEAED"
"21","SRS1219086","SRX1497372","GSM1978255: RNA-seq Alpha5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2697.25,3,42776353,4277635300,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048062","2015-12-27 19:52:05","2015-12-22 14:09:33",15279933,1527993300,0,100,952,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048062","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362219","simple",9606,"Homo sapiens","GSM1978255","no","GEO","SRA321280","public","F70ADB63554F125EBAB39DBD58D4C41C","B0ABE98150B225295DFCFF124F5C8B5E"
"22","SRS1219086","SRX1497372","GSM1978255: RNA-seq Alpha5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2697.25,3,42776353,4277635300,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048063","2015-12-27 19:52:05","2015-12-22 14:09:26",15249800,1524980000,0,100,951,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048063","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362219","simple",9606,"Homo sapiens","GSM1978255","no","GEO","SRA321280","public","9A52CB46CF988AAD2C72FEFFD6A0D06E","6C825E459A34C6C6C9AE6E6CC61B8A50"
"23","SRS1219086","SRX1497372","GSM1978255: RNA-seq Alpha5; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2697.25,3,42776353,4277635300,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048061","2015-12-27 19:52:05","2015-12-22 14:08:55",12246620,1224662000,0,100,793,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048061","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362219","simple",9606,"Homo sapiens","GSM1978255","no","GEO","SRA321280","public","079B5D3179C97F4678F2920103108F72","CCC470FFEC329BE3E9629DD2DB60DAAD"
"24","SRS1219087","SRX1497371","GSM1978254: RNA-seq Alpha4; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",4102.03,1,72405803,7240580300,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048060","2015-12-27 19:52:05","2015-12-23 15:12:37",72405803,7240580300,0,100,4102,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048060","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362218","simple",9606,"Homo sapiens","GSM1978254","no","GEO","SRA321280","public","73588FC55323360668B9A8BC3C003F10","163116A192F767FB0EB35BD24006CF2A"
"25","SRS1219088","SRX1497370","GSM1978253: RNA-seq Alpha3; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",5706.24,1,97704374,9770437400,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048059","2015-12-27 19:52:05","2015-12-23 15:02:10",97704374,9770437400,0,100,5706,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048059","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362217","simple",9606,"Homo sapiens","GSM1978253","no","GEO","SRA321280","public","610DF53727E8C01B62049E9D777FC4A2","D94933276FCE3FEA58FA1AFE3C0479A8"
"26","SRS1219089","SRX1497369","GSM1978252: RNA-seq Alpha2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2771.07,3,43868393,4386839300,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048058","2015-12-27 19:52:05","2015-12-22 14:10:38",15681374,1568137400,0,100,979,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048058","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362216","simple",9606,"Homo sapiens","GSM1978252","no","GEO","SRA321280","public","933561861879D92ED8A1A141DEDE2207","E4CC80AFB13AA0489208F935783E5357"
"27","SRS1219089","SRX1497369","GSM1978252: RNA-seq Alpha2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2771.07,3,43868393,4386839300,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048056","2015-12-27 19:52:05","2015-12-22 14:11:58",12495498,1249549800,0,100,811,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048056","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362216","simple",9606,"Homo sapiens","GSM1978252","no","GEO","SRA321280","public","347350FD411045D793093B4FF57A5918","3B33DE28F28B002E8DF31FCF5E9050DE"
"28","SRS1219089","SRX1497369","GSM1978252: RNA-seq Alpha2; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2771.07,3,43868393,4386839300,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048057","2015-12-27 19:52:05","2015-12-22 14:10:01",15691521,1569152100,0,100,979,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048057","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362216","simple",9606,"Homo sapiens","GSM1978252","no","GEO","SRA321280","public","A4B16F61F19643646A5DEDC8D1870855","B2DC453ACA67D6A40113A1F1039D2235"
"29","SRS1219090","SRX1497368","GSM1978251: RNA-seq Alpha1; Homo sapiens; RNA-Seq","Homo sapiens","Illumina HiSeq 2000","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",2256.74,1,35792489,3579248900,"RNA-Seq","TRANSCRIPTOMIC","cDNA","SRR3048055","2015-12-27 19:52:05","2015-12-22 14:14:48",35792489,3579248900,0,100,2256,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048055","RNA-Seq","cDNA","TRANSCRIPTOMIC","SINGLE",0,0,"ILLUMINA","Illumina HiSeq 2000","SRP067701","PRJNA306754",2,306754,"SAMN04362230","simple",9606,"Homo sapiens","GSM1978251","no","GEO","SRA321280","public","3168030E7CFD426BCA078655098DEDCB","054B92ACBF516AACAC060E56B54ECF26"
"30","SRS1219091","SRX1497367","GSM1978250: ATAC-seq Acinar3; Homo sapiens; OTHER","Homo sapiens","NextSeq 500","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",6478.66,2,198528292,17513697718,"OTHER","GENOMIC","other","SRR3048054","2015-12-27 19:52:05","2015-12-22 14:31:30",68576543,6857654300,68576543,100,2411,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048054","OTHER","other","GENOMIC","PAIRED",0,0,"ILLUMINA","NextSeq 500","SRP067701","PRJNA306754",2,306754,"SAMN04362229","simple",9606,"Homo sapiens","GSM1978250","no","GEO","SRA321280","public","064AD81CAF072813A85DDD19DE291846","5809A6CFA7DA5238FB0C5FFA995A0A3F"
"31","SRS1219091","SRX1497367","GSM1978250: ATAC-seq Acinar3; Homo sapiens; OTHER","Homo sapiens","NextSeq 500","GEO","SRP067701","Integration of ATAC-seq and RNA-seq Identifies Human Alpha Cell and Beta Cell Signature Genes",6478.66,2,198528292,17513697718,"OTHER","GENOMIC","other","SRR3048053","2015-12-27 19:52:05","2015-12-22 15:06:58",129951749,10656043418,129951749,82,4067,"https://sra-download.ncbi.nlm.nih.gov/traces/sra37/SRR/002976/SRR3048053","OTHER","other","GENOMIC","PAIRED",0,0,"ILLUMINA","NextSeq 500","SRP067701","PRJNA306754",2,306754,"SAMN04362229","simple",9606,"Homo sapiens","GSM1978250","no","GEO","SRA321280","public","94CCCAF80DF02B01F3F1270B0826B6AD","8A04DC762E32AD5EED246A8548DF40D5"
